"Calcium, Ca","Iron, Fe","Magnesium, Mg","Phosphorus, P","Potassium, K","Sodium, Na","Zinc, Zn","Vitamin C, total ascorbic acid",Thiamin,Riboflavin,Niacin,Vitamin B-6,"Vitamin A, RAE"
22.0,0.37,16.0,29.0,177.0,1.0,0.22,11.6,0.043,0.025,0.507,0.078,56.0
15.0,0.33,19.0,28.0,140.0,1.0,0.24,10.8,0.051,0.025,0.464,0.085,4.0
44.0,0.93,43.0,45.0,437.0,4.0,0.17,10.8,0.167,0.013,0.881,0.194,21.0
22.0,0.44,13.0,19.0,241.0,1.0,0.22,9.6,0.016,0.067,0.495,0.161,261.0
41.0,0.6,29.0,27.0,284.0,4.0,0.13,15.1,0.072,0.017,0.969,0.124,558.0
10.0,0.28,13.0,14.0,214.0,5.0,0.1,6.5,0.042,0.028,0.334,0.103,200.0
21.0,0.34,11.0,14.0,117.0,18.0,0.2,3.5,0.038,0.022,0.81,0.099,6.0
17.0,1.52,53.0,117.0,410.0,17.0,0.63,8.2,0.168,0.096,1.327,0.116,15.0
33.0,0.63,48.0,40.0,312.0,7.0,0.26,1.5,0.112,0.267,1.003,0.16,147.0
38.0,0.69,27.0,54.0,475.0,36.0,0.32,19.6,0.107,0.106,1.487,0.286,961.0
86.0,1.18,20.0,27.0,460.0,2.0,0.21,35.5,0.139,0.38,1.267,0.072,212.0
14.0,0.41,8.0,26.0,344.0,2.0,0.54,18.9,0.038,0.053,0.81,0.112,3.0
18.0,0.72,30.0,76.0,484.0,15.0,0.27,5.0,0.107,0.028,0.51,0.331,4.0
149.0,1.56,51.0,67.0,623.0,54.0,0.1,38.0,0.044,0.198,0.48,0.117,88.0
49.0,2.05,50.0,120.0,107.0,8.0,1.11,0.0,0.183,0.033,0.909,0.097,0.0
96.0,2.13,77.0,253.0,401.0,14.0,1.57,0.0,0.054,0.357,2.135,0.199,0.0
11.0,0.68,9.0,28.0,218.0,11.0,0.14,22.8,0.036,0.022,0.532,0.079,24.0
137.0,0.8,22.0,29.0,203.0,29.0,0.14,27.4,0.045,0.072,0.411,0.18,381.0
33.0,0.18,9.0,26.0,177.0,16.0,0.12,11.6,0.027,0.023,0.299,0.067,0.0
54.0,1.32,30.0,42.0,284.0,122.0,0.16,16.0,0.05,0.08,0.5,0.081,260.0
18.0,0.38,10.0,17.0,5.0,107.0,0.59,10.5,0.034,0.001,0.384,0.032,0.0
9.0,1.76,48.0,147.0,164.0,8.0,1.84,0.0,0.095,0.03,2.305,0.07,0.0
3.0,0.6,32.0,82.0,101.0,3.0,1.34,0.0,0.052,0.087,1.287,0.135,0.0
61.0,1.09,30.0,25.0,274.0,4.0,0.28,9.8,0.086,0.072,0.652,0.082,4.0
142.0,4.33,54.0,153.0,280.0,13.0,1.44,0.0,0.295,0.129,0.83,0.047,0.0
14.0,0.52,18.0,49.0,670.0,8.0,0.2,12.1,0.095,0.028,0.552,0.228,6.0
11.0,0.57,11.0,16.0,135.0,4.0,0.15,14.1,0.017,0.028,0.19,0.04,1.0
44.0,0.98,42.0,57.0,290.0,4.0,0.36,16.2,0.085,0.099,0.63,0.024,23.0
42.0,2.64,98.0,181.0,315.0,5.0,1.08,0.4,0.212,0.064,0.551,0.095,0.0
